city_state,lat,lng
"Braintree, MA",42.205991,-71.004983
"Bridgewater, NJ",40.594948,-74.630928
"Burlington, MA",42.505990,-71.194077
"Canoga Park, CA",34.201019,-118.605927
"Century City, CA",34.208326,-118.605961
"Cherry Hill, NJ",40.920932,-74.038473
"Chestnut Hill, MA",42.315401,-71.161223
"Dedham, MA",42.246691,-71.173463
"Edison, NJ",40.527429,-74.394019
"Farmington, CT",41.719822,-72.832043
"Freehold, NJ",40.258641,-74.276353
"Greenwich, CT",41.025184,-73.62964
"Hingham, MA",42.230805,-70.886701
"Lawrence Township, NJ",40.27967,-74.717757
"Lynnfield, MA",42.538817,-71.047276
"Natick, MA",42.28343,-71.349503
"Northridge, CA",34.23078,-118.532338
"Rockaway, NJ",40.900346,-74.511881
"S. Portland, ME",43.637445,-70.251316
"Salem, NH",42.794997,-71.21931
"Sherman Oaks, CA",34.150437,-118.439955
"South Windsor, CT",41.82371,-72.621201
"Trumbull, CT",41.257405,-73.219519
"Valencia, CA",34.431375,-118.557556
"Victor, NY",42.982095,-77.407745
"Wayne, NJ",40.948151,-74.245033
"Whitehall, PA",40.351097,-79.979143
